AIRPORT,DATE,FLTS,TOT_A100,TOT_REF,TOT_ADD,AVG_ADD,REF_YEAR
SBPA,2022-06,112,2802.9166666666665,2441.9558333333334,360.9608333333331,3.222864583333331,2023
SBPA,2022-07,145,3552.0333333333333,3155.8675000000003,396.165833333333,2.732178160919538,2023
SBPA,2022-08,136,3430.383333333333,2987.6083333333336,442.77499999999964,3.255698529411762,2023
SBPA,2022-09,130,3147.366666666667,2813.9558333333334,333.41083333333336,2.564698717948718,2023
SBPA,2022-10,126,3180.5166666666664,2737.0800000000004,443.43666666666604,3.5193386243386193,2023
SBPA,2022-11,139,3370.7166666666667,3012.9550000000004,357.7616666666663,2.573824940047959,2023
SBPA,2022-12,135,3300.4,2939.2883333333334,361.1116666666667,2.6749012345679013,2023
SBPA,2023-01,154,3747.5666666666666,3344.616666666667,402.9499999999998,2.6165584415584404,2023
SBPA,2023-02,116,2871.1,2511.076666666667,360.0233333333331,3.103649425287354,2023
SBPA,2023-03,135,3258.5833333333335,2928.2450000000003,330.33833333333314,2.446950617283949,2023
SBPA,2023-04,131,3285.4166666666665,2845.0483333333336,440.3683333333329,3.3615903307888004,2023
SBPA,2023-05,154,3691.516666666667,3337.6658333333335,353.8508333333334,2.2977326839826846,2023
SBPA,2023-06,174,4313.95,3755.241666666667,558.708333333333,3.21096743295019,2023
SBPA,2023-07,132,3261.1,2862.045,399.05499999999984,3.0231439393939383,2023
SBPA,2023-08,143,3573.4333333333334,3113.9075000000003,459.52583333333314,3.2134673659673645,2023
SBPA,2023-09,139,3399.366666666667,3010.3025000000002,389.06416666666655,2.7990227817745796,2023
SBPA,2023-10,148,3677.633333333333,3244.2583333333337,433.37499999999955,2.9282094594594565,2023
SBPA,2023-11,141,3526.85,3068.384166666667,458.46583333333274,3.251530732860516,2023
SBPA,2023-12,141,3322.95,3057.496666666667,265.4533333333329,1.882647754137113,2023
SBPA,2024-01,144,3488.45,3139.6050000000005,348.84499999999935,2.4225347222222178,2023
SBPA,2024-02,110,2600.1,2400.1308333333336,199.9691666666663,1.8179015151515119,2023
SBPA,2024-03,139,3435.25,3042.959166666667,392.290833333333,2.8222362110311727,2023
