APT,PHASE,DATE,MVTS,ADD_TIME,AVG_ADD_TIME
SBCF,TXOT,2019-07-19,150,871.87,5.8124666666666664
SBGL,TXOT,2019-07-19,122,455.42,3.7329508196721313
SBSV,TXOT,2019-07-19,85,398.7,4.6905882352941175
SBCT,TXOT,2019-07-19,94,439.27,4.673085106382978
SBKP,TXOT,2019-07-19,168,1016.05,6.047916666666667
SBBR,TXOT,2019-07-20,137,401.47,2.9304379562043796
SBGR,TXOT,2019-07-20,346,1056.49,3.0534393063583813
SBSP,TXOT,2019-07-20,179,406.78,2.272513966480447
SBCF,TXOT,2019-07-20,132,592.53,4.488863636363636
SBGL,TXOT,2019-07-20,133,776.75,5.840225563909774
SBPA,TXOT,2019-07-20,76,232.33,3.0569736842105266
SBSV,TXOT,2019-07-20,82,343.89,4.193780487804878
SBCT,TXOT,2019-07-20,67,228.85,3.415671641791045
SBKP,TXOT,2019-07-20,131,764.95,5.839312977099237
SBRJ,TXOT,2019-07-20,92,325.1,3.5336956521739133
SBGL,TXOT,2019-07-21,121,437.83,3.6184297520661155
SBGR,TXOT,2019-07-21,322,943.97,2.931583850931677
SBSP,TXOT,2019-07-21,187,694.48,3.7137967914438503
SBKP,TXOT,2019-07-21,134,779.7,5.818656716417911
SBCF,TXOT,2019-07-21,138,599.29,4.342681159420289
SBBR,TXOT,2019-07-21,124,352.64,2.8438709677419354
SBRJ,TXOT,2019-07-21,92,304.29,3.3075
SBSV,TXOT,2019-07-21,76,282.47,3.71671052631579
SBCT,TXOT,2019-07-21,72,271.37,3.7690277777777776
SBPA,TXOT,2019-07-21,84,342.22,4.07404761904762
SBGL,TXOT,2019-07-22,115,530.71,4.614869565217392
SBBR,TXOT,2019-07-22,182,574.06,3.154175824175824
SBCF,TXOT,2019-07-22,153,700.23,4.576666666666667
SBPA,TXOT,2019-07-22,95,408.54,4.300421052631579
SBGR,TXOT,2019-07-22,378,1707.18,4.516349206349206
SBSP,TXOT,2019-07-22,245,989.76,4.0398367346938775
SBRJ,TXOT,2019-07-22,122,373.09,3.0581147540983604
SBCT,TXOT,2019-07-22,87,359.83,4.135977011494253
SBSV,TXOT,2019-07-22,85,339.65999999999997,3.9959999999999996
SBKP,TXOT,2019-07-22,168,913.86,5.439642857142857
SBCT,TXOT,2019-07-23,88,278.81,3.1682954545454547
SBGR,TXOT,2019-07-23,378,1504.93,3.9812962962962963
SBBR,TXOT,2019-07-23,183,661.49,3.614699453551913
