ICAO,DATE,PHASE,N_VALID,"(-INF,-60]","(-60,-55]","(-55,-50]","(-50,-45]","(-45,-40]","(-40,-35]","(-35,-30]","(-30,-25]","(-25,-20]","(-20,-15]","(-15,-10]","(-10,-5]","(-5,0]","(0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,INF)"
EDDF,2023-03-07,ARR,484,4,1,0,0,1,1,4,1,10,18,36,62,67,67,50,41,27,19,20,15,6,6,8,2,2,16
EDDF,2023-03-07,DEP,473,1,0,0,1,0,2,3,0,0,1,8,15,56,85,91,58,47,25,21,15,12,7,4,2,1,18
EDDF,2023-03-08,ARR,492,1,1,0,0,2,2,0,1,8,8,22,39,50,52,39,34,36,23,26,19,16,12,8,8,14,71
EDDF,2023-03-08,DEP,498,0,0,0,0,0,0,0,0,1,1,6,5,37,50,48,47,37,40,33,24,17,28,17,24,10,73
EDDF,2023-03-09,ARR,526,1,0,1,1,0,2,3,4,7,25,39,48,56,55,70,36,33,29,18,16,14,16,7,8,5,32
EDDF,2023-03-09,DEP,544,1,0,0,0,1,0,1,0,0,1,3,11,34,98,109,65,50,43,38,23,15,5,9,3,3,31
EDDF,2023-03-10,ARR,524,0,2,3,0,0,0,0,4,10,13,32,34,51,74,51,42,38,29,23,20,25,7,12,7,7,40
EDDF,2023-03-10,DEP,527,1,0,0,0,0,0,0,0,0,0,1,5,22,59,73,55,56,54,43,28,17,27,20,13,9,44
EDDF,2023-03-11,ARR,533,0,3,2,2,0,1,4,6,10,18,25,55,53,65,50,35,31,32,19,14,13,13,11,12,10,49
EDDF,2023-03-11,DEP,539,0,0,0,0,0,0,0,0,0,0,7,6,15,56,71,67,43,42,40,34,23,29,21,18,9,58
EDDF,2023-03-12,ARR,540,1,1,2,0,0,1,8,7,6,15,29,41,54,53,56,37,27,21,20,24,21,11,13,16,9,67
EDDF,2023-03-12,DEP,525,1,0,0,0,0,0,0,1,0,0,4,5,22,57,58,58,43,35,34,28,24,18,25,14,12,86
EDDF,2023-03-13,ARR,512,1,0,0,0,0,3,2,3,5,9,21,48,50,54,43,42,31,28,20,13,8,10,9,10,12,90
EDDF,2023-03-13,DEP,504,0,0,0,0,0,0,0,0,0,1,6,3,20,49,58,52,52,40,28,22,23,21,22,16,9,82
EDDF,2023-03-14,ARR,498,0,0,0,2,3,1,3,10,10,23,35,56,62,63,53,38,32,29,15,10,6,8,6,4,4,25
EDDF,2023-03-14,DEP,501,0,0,0,0,0,1,0,0,1,1,5,7,42,94,83,57,51,34,21,20,15,13,6,14,7,29
EDDF,2023-03-15,ARR,539,1,0,0,5,2,3,6,9,8,20,27,52,56,71,53,47,40,26,26,13,18,11,9,6,3,27
EDDF,2023-03-15,DEP,550,2,0,0,0,0,0,1,0,1,4,8,9,21,60,72,74,55,52,44,28,25,25,13,13,9,34
EDDF,2023-03-16,ARR,539,5,0,0,1,4,1,8,4,11,37,49,59,65,70,71,37,31,30,12,9,5,6,1,1,1,21
EDDF,2023-03-16,DEP,542,2,0,0,0,0,0,0,0,0,3,3,8,30,88,95,69,65,47,38,25,19,13,7,7,6,17
EDDF,2023-03-17,ARR,555,3,0,3,1,1,3,4,10,19,28,51,49,66,71,64,40,30,31,11,10,8,12,6,5,2,27
EDDF,2023-03-17,DEP,551,0,0,0,0,0,0,1,0,1,1,8,13,20,58,74,67,60,48,41,32,18,24,15,13,14,43
EDDF,2023-03-18,ARR,537,5,2,2,1,2,2,8,12,25,38,52,72,56,79,48,34,17,9,13,13,7,9,6,2,2,21
EDDF,2023-03-18,DEP,537,1,0,0,0,0,1,0,0,0,0,7,5,29,91,71,47,74,48,27,29,18,16,15,10,8,40
EDDF,2023-03-19,ARR,549,1,1,1,2,1,5,4,9,26,37,50,81,75,57,49,44,27,18,16,6,6,5,4,3,3,18
EDDF,2023-03-19,DEP,541,2,0,0,0,0,0,0,0,0,1,5,8,56,126,98,75,47,28,32,17,10,6,5,5,4,16
EDDF,2023-03-20,ARR,539,1,0,3,3,1,7,7,12,16,25,55,57,69,58,54,32,34,20,15,11,10,12,7,6,3,21
EDDF,2023-03-20,DEP,545,0,0,0,0,0,0,2,0,0,0,9,11,50,95,81,54,51,34,30,37,15,12,14,9,12,29
EDDF,2023-03-21,ARR,499,3,0,1,1,1,2,10,13,15,43,45,89,77,62,37,27,21,12,13,5,2,6,3,1,2,8
EDDF,2023-03-21,DEP,487,1,0,0,0,0,0,0,0,1,1,2,18,69,100,95,45,33,35,29,17,15,6,4,4,1,11
EDDF,2023-03-22,ARR,524,2,0,0,2,6,7,3,4,14,25,50,73,83,67,50,44,31,15,11,6,3,4,5,1,0,18
EDDF,2023-03-22,DEP,526,1,0,0,2,0,0,0,1,0,1,4,16,59,103,90,64,41,36,36,23,11,8,9,3,2,16
EDDF,2023-03-23,ARR,537,1,0,1,1,2,1,5,13,10,22,44,66,83,59,57,41,33,29,13,7,11,9,4,6,2,17
EDDF,2023-03-23,DEP,543,2,0,0,0,0,1,0,1,0,2,5,7,38,85,98,69,53,43,37,26,15,8,11,5,4,33
EDDF,2023-03-24,ARR,539,0,3,1,1,4,0,8,10,7,23,31,38,54,46,43,33,31,24,28,25,17,10,7,12,11,72
