ICAO,DATE,PHASE,ARRS100,ADD100,TOT_A100,AVG_ADD_TIME
LPPT,2019-05-29,ARR,304,878.3766666666661,8298.016666666668,2.8893969298245596
LPPT,2019-05-30,ARR,311,751.9866666666667,8342.933333333334,2.417963558413719
LPPT,2019-05-31,ARR,314,682.2366666666666,8297.849999999999,2.1727282377919317
LPPT,2019-06-01,ARR,315,819.8666666666669,8191.450000000003,2.6027513227513235
LPPT,2019-06-02,ARR,311,814.2599999999998,8348.149999999998,2.6181993569131827
LPPT,2019-06-03,ARR,314,693.5366666666662,8317.266666666668,2.2087154989384272
LPPT,2019-06-04,ARR,312,897.6699999999998,8361.783333333336,2.8771474358974354
LPPT,2019-06-05,ARR,305,846.7733333333332,8261.433333333334,2.7763060109289612
LPPT,2019-06-06,ARR,318,1428.3000000000002,8875.183333333332,4.491509433962265
LPPT,2019-06-07,ARR,312,1132.6866666666665,8705.7,3.6304059829059825
LPPT,2019-06-08,ARR,311,1215.5799999999995,8762.55,3.90861736334405
LPPT,2019-06-09,ARR,322,755.4766666666665,8569.983333333328,2.3462008281573494
LPPT,2019-06-10,ARR,323,1166.453333333333,9001.866666666669,3.6113106295149624
LPPT,2019-06-11,ARR,309,973.7533333333326,8521.300000000001,3.1513052858683905
LPPT,2019-06-12,ARR,307,862.1533333333329,8330.183333333334,2.8083170466883804
LPPT,2019-06-13,ARR,319,1408.7333333333333,9175.449999999999,4.416091954022988
LPPT,2019-06-14,ARR,323,549.98,7924.616666666671,1.7027244582043344
LPPT,2019-06-15,ARR,314,852.9233333333333,8404.616666666667,2.716316348195329
LPPT,2019-06-16,ARR,333,751.3,8792.033333333336,2.256156156156156
LPPT,2019-06-17,ARR,333,921.5099999999998,8570.416666666666,2.7672972972972967
LPPT,2019-06-18,ARR,326,2127.826666666668,9583.216666666669,6.527075664621681
LPPT,2019-06-19,ARR,327,786.5300000000001,8413.4,2.405290519877676
LPPT,2019-06-20,ARR,330,1182.7833333333326,9224.816666666666,3.584191919191917
LPPT,2019-06-21,ARR,333,1273.6600000000003,9363.166666666668,3.824804804804806
LPPT,2019-06-22,ARR,320,1128.503333333334,8469.699999999999,3.5265729166666686
LPPT,2019-06-23,ARR,326,2418.4333333333334,9925.88333333333,7.418507157464213
LPPT,2019-06-24,ARR,339,1110.3999999999996,9184.05,3.2755162241887894
LPPT,2019-06-25,ARR,322,1319.1166666666666,8977.383333333335,4.096635610766045
LPPT,2019-06-26,ARR,326,1493.2899999999993,9383.933333333332,4.580644171779139
LPPT,2019-06-27,ARR,335,1365.41,9199.283333333338,4.075850746268657
LPPT,2019-06-28,ARR,335,900.5666666666662,9012.116666666665,2.68825870646766
LPPT,2019-06-29,ARR,325,1019.8399999999998,8871.183333333334,3.13796923076923
LPPT,2019-06-30,ARR,338,1247.87,9395.583333333334,3.6919230769230764
LPPT,2019-07-01,ARR,339,973.313333333333,9180.416666666668,2.8711307767944927
LPPT,2019-07-02,ARR,322,791.9333333333334,8615.716666666665,2.4594202898550726
LPPT,2019-07-03,ARR,321,1024.6100000000001,8411.666666666666,3.191931464174455
LPPT,2019-07-04,ARR,331,1169.8266666666664,8732.383333333331,3.5342195367573
LPPT,2019-07-05,ARR,343,1387.0066666666676,9241.583333333332,4.043751214771626
LPPT,2019-07-06,ARR,324,1208.446666666667,8631.250000000004,3.729773662551441
LPPT,2019-07-07,ARR,331,1561.2399999999996,9379.48333333333,4.716737160120845
LPPT,2019-07-08,ARR,339,607.0599999999997,8790.233333333332,1.790737463126843
LPPT,2019-07-09,ARR,322,806.6699999999996,8631.35,2.5051863354037254
LPPT,2019-07-10,ARR,326,717.9899999999997,8625.416666666668,2.2024233128834347
LPPT,2019-07-11,ARR,330,1115.3966666666665,9140.03333333333,3.3799898989898987
